# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	835612	836574	+							CSAC_RS03745	963		old_locus_tag=Csac_0743
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	835612	836574	+	WP_011916309.1	WP_011916309.1		DNA polymerase III subunit delta'			CSAC_RS03745	963	320	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	836580	837467	+							CSAC_RS03750	888		old_locus_tag=Csac_0744
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	836580	837467	+	WP_011916310.1	WP_011916310.1		stage 0 sporulation family protein			CSAC_RS03750	888	295	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	837590	838882	+					rmuC		CSAC_RS03755	1293		old_locus_tag=Csac_0745
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	837590	838882	+	WP_011916311.1	WP_011916311.1		DNA recombination protein RmuC	rmuC		CSAC_RS03755	1293	430	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	839066	840463	+							CSAC_RS03760	1398		old_locus_tag=Csac_0746
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	839066	840463	+	WP_011916312.1	WP_011916312.1		2-isopropylmalate synthase			CSAC_RS03760	1398	465	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	840664	841878	-							CSAC_RS03765	1215		old_locus_tag=Csac_0747
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	840664	841878	-	WP_148203708.1	WP_148203708.1		hypothetical protein			CSAC_RS03765	1215	404	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	841950	842591	-							CSAC_RS03770	642		old_locus_tag=Csac_0748
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	841950	842591	-	WP_011916314.1	WP_011916314.1		ABC transporter ATP-binding protein			CSAC_RS03770	642	213	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	842801	843241	+							CSAC_RS03775	441		old_locus_tag=Csac_0749
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	842801	843241	+	WP_011916315.1	WP_011916315.1		DUF4830 domain-containing protein			CSAC_RS03775	441	146	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	843391	845322	+							CSAC_RS03780	1932		old_locus_tag=Csac_0750
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	843391	845322	+	WP_011916316.1	WP_011916316.1		aconitate hydratase			CSAC_RS03780	1932	643	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	845409	846416	+							CSAC_RS03785	1008		old_locus_tag=Csac_0751
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	845409	846416	+	WP_011916317.1	WP_011916317.1		isocitrate/isopropylmalate dehydrogenase family protein			CSAC_RS03785	1008	335	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	846449	847144	+							CSAC_RS03790	696		old_locus_tag=Csac_0752
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	846449	847144	+	WP_011916318.1	WP_011916318.1		GntR family transcriptional regulator			CSAC_RS03790	696	231	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	847250	849478	+							CSAC_RS03795	2229		old_locus_tag=Csac_0753
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	847250	849478	+	WP_011916319.1	WP_011916319.1		Mur ligase			CSAC_RS03795	2229	742	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	849553	849840	+							CSAC_RS03800	288		old_locus_tag=Csac_0754
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	849553	849840	+	WP_011916320.1	WP_011916320.1		hypothetical protein			CSAC_RS03800	288	95	
gene	SRP_RNA	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	849928	850199	+					ffs		CSAC_RS14405	272		
ncRNA	SRP_RNA	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	849928	850199	+				signal recognition particle sRNA large type	ffs		CSAC_RS14405	272		
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	850327	850743	+							CSAC_RS03805	417		old_locus_tag=Csac_0755
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	850327	850743	+	WP_011916321.1	WP_011916321.1		hypothetical protein			CSAC_RS03805	417	138	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	850883	852628	+							CSAC_RS03810	1746		old_locus_tag=Csac_0756
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	850883	852628	+	WP_011916322.1	WP_011916322.1		GGDEF domain-containing protein			CSAC_RS03810	1746	581	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	852628	854292	+							CSAC_RS03815	1665		old_locus_tag=Csac_0757
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	852628	854292	+	WP_041722474.1	WP_041722474.1		nucleoside kinase			CSAC_RS03815	1665	554	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	854370	855257	-							CSAC_RS03820	888		old_locus_tag=Csac_0758
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	854370	855257	-	WP_011916324.1	WP_011916324.1		hypothetical protein			CSAC_RS03820	888	295	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	855448	857109	+							CSAC_RS03825	1662		old_locus_tag=Csac_0759
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	855448	857109	+	WP_011916325.1	WP_011916325.1		FAD-dependent oxidoreductase			CSAC_RS03825	1662	553	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	857137	857742	-							CSAC_RS03830	606		old_locus_tag=Csac_0760
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	857137	857742	-	WP_011916326.1	WP_011916326.1		VTT domain-containing protein			CSAC_RS03830	606	201	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	858109	859137	+							CSAC_RS03835	1029		old_locus_tag=Csac_0761
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	858109	859137	+	WP_011916327.1	WP_011916327.1		3D domain-containing protein			CSAC_RS03835	1029	342	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	859348	860241	+							CSAC_RS03840	894		old_locus_tag=Csac_0762
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	859348	860241	+	WP_011916328.1	WP_011916328.1		glycosidase			CSAC_RS03840	894	297	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	860311	861285	+							CSAC_RS03845	975		old_locus_tag=Csac_0763
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	860311	861285	+	WP_011916329.1	WP_011916329.1		zinc-dependent alcohol dehydrogenase family protein			CSAC_RS03845	975	324	
gene	tRNA	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	861334	861425	+							CSAC_RS03850	92		old_locus_tag=Csac_R0017
tRNA		GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	861334	861425	+				tRNA-Ser			CSAC_RS03850	92		anticodon=GCT
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	861486	862361	-							CSAC_RS03855	876		old_locus_tag=Csac_0764
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	861486	862361	-	WP_011916330.1	WP_011916330.1		Spo0B domain-containing protein			CSAC_RS03855	876	291	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	862348	862854	-							CSAC_RS03860	507		old_locus_tag=Csac_0765
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	862348	862854	-	WP_011916331.1	WP_011916331.1		hypothetical protein			CSAC_RS03860	507	168	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	862955	863851	+							CSAC_RS03865	897		old_locus_tag=Csac_0766
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	862955	863851	+	WP_011916332.1	WP_011916332.1		phosphatidylglycerol lysyltransferase domain-containing protein			CSAC_RS03865	897	298	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	863909	864910	+							CSAC_RS03870	1002		old_locus_tag=Csac_0767
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	863909	864910	+	WP_011916333.1	WP_011916333.1		phosphotransferase			CSAC_RS03870	1002	333	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	864901	865869	+							CSAC_RS03875	969		old_locus_tag=Csac_0768
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	864901	865869	+	WP_011916334.1	WP_011916334.1		hypothetical protein			CSAC_RS03875	969	322	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	865913	866905	+							CSAC_RS03880	993		old_locus_tag=Csac_0769
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	865913	866905	+	WP_011916335.1	WP_011916335.1		CotS family spore coat protein			CSAC_RS03880	993	330	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	866957	867745	-							CSAC_RS03885	789		old_locus_tag=Csac_0770
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	866957	867745	-	WP_011916336.1	WP_011916336.1		type III pantothenate kinase			CSAC_RS03885	789	262	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	867769	868089	-							CSAC_RS03890	321		old_locus_tag=Csac_0771
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	867769	868089	-	WP_011916337.1	WP_011916337.1		heavy metal-binding domain-containing protein			CSAC_RS03890	321	106	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	868102	869337	-							CSAC_RS03895	1236		old_locus_tag=Csac_0772
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	868102	869337	-	WP_011916338.1	WP_011916338.1		LL-diaminopimelate aminotransferase			CSAC_RS03895	1236	411	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	869778	870464	+							CSAC_RS03900	687		old_locus_tag=Csac_0773
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	869778	870464	+	WP_011916339.1	WP_011916339.1		4Fe-4S binding protein			CSAC_RS03900	687	228	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	870691	872778	+							CSAC_RS03905	2088		old_locus_tag=Csac_0774
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	870691	872778	+	WP_011916340.1	WP_011916340.1		ribonucleoside triphosphate reductase			CSAC_RS03905	2088	695	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	873415	873732	+							CSAC_RS03910	318		old_locus_tag=Csac_0775
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	873415	873732	+	WP_011916343.1	WP_011916343.1		hypothetical protein			CSAC_RS03910	318	105	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	873747	874976	+							CSAC_RS03915	1230		old_locus_tag=Csac_0776
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	873747	874976	+	WP_011916344.1	WP_011916344.1		WG repeat-containing protein			CSAC_RS03915	1230	409	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	875020	875451	-							CSAC_RS03920	432		old_locus_tag=Csac_0777
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	875020	875451	-	WP_011916345.1	WP_011916345.1		hypothetical protein			CSAC_RS03920	432	143	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	875653	876603	+							CSAC_RS03925	951		old_locus_tag=Csac_0778
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	875653	876603	+	WP_011916346.1	WP_011916346.1		ROK family protein			CSAC_RS03925	951	316	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	876632	877276	+							CSAC_RS03930	645		old_locus_tag=Csac_0779
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	876632	877276	+	WP_011916347.1	WP_011916347.1		SGNH/GDSL hydrolase family protein			CSAC_RS03930	645	214	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	877364	879826	-							CSAC_RS03935	2463		old_locus_tag=Csac_0780
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	877364	879826	-	WP_011916348.1	WP_011916348.1		glycogen/starch/alpha-glucan phosphorylase			CSAC_RS03935	2463	820	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	879857	881290	-					glgA		CSAC_RS03940	1434		old_locus_tag=Csac_0781
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	879857	881290	-	WP_011916349.1	WP_011916349.1		glycogen synthase GlgA	glgA		CSAC_RS03940	1434	477	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	881287	882429	-					glgD		CSAC_RS03945	1143		old_locus_tag=Csac_0782
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	881287	882429	-	WP_011916350.1	WP_011916350.1		glucose-1-phosphate adenylyltransferase subunit GlgD	glgD		CSAC_RS03945	1143	380	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	882449	883627	-							CSAC_RS03950	1179		old_locus_tag=Csac_0783
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	882449	883627	-	WP_011916351.1	WP_011916351.1		glucose-1-phosphate adenylyltransferase			CSAC_RS03950	1179	392	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	883660	885597	-					glgB		CSAC_RS03955	1938		old_locus_tag=Csac_0784
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	883660	885597	-	WP_011916352.1	WP_011916352.1		1,4-alpha-glucan branching protein GlgB	glgB		CSAC_RS03955	1938	645	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	885978	886889	+							CSAC_RS03960	912		old_locus_tag=Csac_0785
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	885978	886889	+	WP_011916353.1	WP_011916353.1		DMT family transporter			CSAC_RS03960	912	303	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	886920	888146	+							CSAC_RS03965	1227		old_locus_tag=Csac_0786
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	886920	888146	+	WP_011916354.1	WP_011916354.1		MFS transporter			CSAC_RS03965	1227	408	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	888222	888914	+					radC		CSAC_RS03970	693		old_locus_tag=Csac_0787
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	888222	888914	+	WP_011916355.1	WP_011916355.1		DNA repair protein RadC	radC		CSAC_RS03970	693	230	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	889005	890528	-							CSAC_RS03975	1524		old_locus_tag=Csac_0788
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	889005	890528	-	WP_011916356.1	WP_011916356.1		LysM peptidoglycan-binding domain-containing protein			CSAC_RS03975	1524	507	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	890702	891049	+							CSAC_RS03980	348		old_locus_tag=Csac_0789
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	890702	891049	+	WP_011916357.1	WP_011916357.1		nucleotidyltransferase domain-containing protein			CSAC_RS03980	348	115	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891030	891434	+							CSAC_RS03985	405		old_locus_tag=Csac_0790
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891030	891434	+	WP_011916358.1	WP_011916358.1		HEPN domain-containing protein			CSAC_RS03985	405	134	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891431	891901	-					ribE		CSAC_RS03990	471		old_locus_tag=Csac_0791
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891431	891901	-	WP_011916359.1	WP_011916359.1		6,7-dimethyl-8-ribityllumazine synthase	ribE		CSAC_RS03990	471	156	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891888	893096	-					ribA		CSAC_RS03995	1209		old_locus_tag=Csac_0792
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	891888	893096	-	WP_011916360.1	WP_011916360.1		GTP cyclohydrolase II RibA	ribA		CSAC_RS03995	1209	402	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	893102	893680	-							CSAC_RS04000	579		old_locus_tag=Csac_0793
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	893102	893680	-	WP_011916361.1	WP_011916361.1		riboflavin synthase			CSAC_RS04000	579	192	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	893673	894788	-					ribD		CSAC_RS04005	1116		old_locus_tag=Csac_0794
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	893673	894788	-	WP_011916362.1	WP_011916362.1		bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD		CSAC_RS04005	1116	371	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	895179	895472	-							CSAC_RS04015	294		old_locus_tag=Csac_0795
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	895179	895472	-	WP_011916363.1	WP_011916363.1		hypothetical protein			CSAC_RS04015	294	97	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	895682	895933	-							CSAC_RS04020	252		old_locus_tag=Csac_0796
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	895682	895933	-	WP_011916364.1	WP_011916364.1		DUF4176 domain-containing protein			CSAC_RS04020	252	83	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	896157	897152	+							CSAC_RS04025	996		old_locus_tag=Csac_0797
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	896157	897152	+	WP_228370016.1	WP_228370016.1		LacI family transcriptional regulator			CSAC_RS04025	996	331	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	897188	898696	+					xylB		CSAC_RS04030	1509		old_locus_tag=Csac_0798
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	897188	898696	+	WP_011916366.1	WP_011916366.1		xylulokinase	xylB		CSAC_RS04030	1509	502	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	898840	900330	+							CSAC_RS04035	1491		old_locus_tag=Csac_0799
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	898840	900330	+	WP_011916367.1	WP_011916367.1		HD-GYP domain-containing protein			CSAC_RS04035	1491	496	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	900392	900976	+							CSAC_RS04040	585		old_locus_tag=Csac_0800
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	900392	900976	+	WP_011916368.1	WP_011916368.1		ANTAR domain-containing protein			CSAC_RS04040	585	194	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	900989	901672	+							CSAC_RS04045	684		old_locus_tag=Csac_0801
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	900989	901672	+	WP_011916369.1	WP_011916369.1		gamma-glutamyl-gamma-aminobutyrate hydrolase family protein			CSAC_RS04045	684	227	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	901677	902459	+							CSAC_RS04050	783		old_locus_tag=Csac_0802
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	901677	902459	+	WP_011916370.1	WP_011916370.1		mechanosensitive ion channel family protein			CSAC_RS04050	783	260	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	902507	904225	+							CSAC_RS04055	1719		old_locus_tag=Csac_0803
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	902507	904225	+	WP_011916371.1	WP_011916371.1		proline--tRNA ligase			CSAC_RS04055	1719	572	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	904347	904973	+							CSAC_RS04060	627		old_locus_tag=Csac_0804
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	904347	904973	+	WP_011916372.1	WP_011916372.1		cyclase family protein			CSAC_RS04060	627	208	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	905266	905535	-							CSAC_RS04065	270		old_locus_tag=Csac_0805
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	905266	905535	-	WP_011916373.1	WP_011916373.1		cache domain-containing protein			CSAC_RS04065	270	89	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	905718	906863	-							CSAC_RS04070	1146		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	905718	906863	-	WP_228370017.1	WP_228370017.1		methyl-accepting chemotaxis protein			CSAC_RS04070	1146	381	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	907036	907983	+							CSAC_RS04075	948		old_locus_tag=Csac_0807
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	907036	907983	+	WP_011915667.1	WP_011915667.1		ISNCY-like element ISCsa7 family transposase			CSAC_RS04075	948	315	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908015	908395	-							CSAC_RS04080	381		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908015	908395	-	WP_041722478.1	WP_041722478.1		MCP four helix bundle domain-containing protein			CSAC_RS04080	381	126	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908413	908907	-							CSAC_RS04085	495		old_locus_tag=Csac_0808
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908413	908907	-	WP_011916374.1	WP_011916374.1		chemotaxis protein CheW			CSAC_RS04085	495	164	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908904	910856	-							CSAC_RS04090	1953		old_locus_tag=Csac_0809
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	908904	910856	-	WP_011916375.1	WP_011916375.1		chemotaxis protein CheA			CSAC_RS04090	1953	650	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	910889	912556	-							CSAC_RS04095	1668		old_locus_tag=Csac_0810
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	910889	912556	-	WP_011916376.1	WP_011916376.1		HD-GYP domain-containing protein			CSAC_RS04095	1668	555	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	913588	915540	+							CSAC_RS04100	1953		old_locus_tag=Csac_0811
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	913588	915540	+	WP_011916377.1	WP_011916377.1		methyl-accepting chemotaxis protein			CSAC_RS04100	1953	650	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	915594	916133	+							CSAC_RS04105	540		old_locus_tag=Csac_0812
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	915594	916133	+	WP_011916378.1	WP_011916378.1		chemotaxis protein CheW			CSAC_RS04105	540	179	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	916187	917218	+							CSAC_RS04110	1032		old_locus_tag=Csac_0813
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	916187	917218	+	WP_011916379.1	WP_011916379.1		chemotaxis response regulator protein-glutamate methylesterase			CSAC_RS04110	1032	343	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	917246	918898	+							CSAC_RS04115	1653		old_locus_tag=Csac_0814
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	917246	918898	+	WP_011916380.1	WP_011916380.1		chemotaxis protein CheA			CSAC_RS04115	1653	550	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	918919	920397	+							CSAC_RS04120	1479		old_locus_tag=Csac_0815
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	918919	920397	+	WP_011916381.1	WP_011916381.1		HEAT repeat domain-containing protein			CSAC_RS04120	1479	492	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	920414	921262	+							CSAC_RS04125	849		old_locus_tag=Csac_0816
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	920414	921262	+	WP_011916382.1	WP_011916382.1		protein-glutamate O-methyltransferase CheR			CSAC_RS04125	849	282	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	921289	921660	+							CSAC_RS04130	372		old_locus_tag=Csac_0817
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	921289	921660	+	WP_011916383.1	WP_011916383.1		response regulator			CSAC_RS04130	372	123	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	921676	922680	+							CSAC_RS04135	1005		old_locus_tag=Csac_0818
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	921676	922680	+	WP_011916384.1	WP_011916384.1		chemotaxis protein CheW			CSAC_RS04135	1005	334	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	922681	923673	+							CSAC_RS04140	993		old_locus_tag=Csac_0819
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	922681	923673	+	WP_011916385.1	WP_011916385.1		methyl-accepting chemotaxis protein			CSAC_RS04140	993	330	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	923700	924158	+							CSAC_RS04145	459		old_locus_tag=Csac_0820
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	923700	924158	+	WP_011916386.1	WP_011916386.1		response regulator			CSAC_RS04145	459	152	
